investor,startup,round,year,amount,funding_id
Alice Capital,FinAI,Seed,2022,1000000,FinAI_Seed_2022
Sequoia Capital,MedAI,Seed,2022,2000000,MedAI_Seed_2022
Andreessen Horowitz,ShopSmart,Seed,2022,1500000,ShopSmart_Seed_2022
HealthFund,MedAI,Series A,2023,6000000,MedAI_SeriesA_2023a
Sequoia Capital,MedAI,Series A,2023,5000000,MedAI_SeriesA_2023b
Accel Partners,FinGrow,Series A,2023,8000000,FinGrow_SeriesA_2023
GreenFuture VC,ClimateCore,Series A,2023,4000000,ClimateCore_SeriesA_2023a
NorthStar Capital,ClimateCore,Series A,2023,3500000,ClimateCore_SeriesA_2023b
Alice Capital,HealthX,Series A,2023,5000000,HealthX_SeriesA_2023
SoftBank Vision,AutoSense,Series B,2023,20000000,AutoSense_SeriesB_2023
Accel Partners,RoboWorks,Series B,2023,10000000,RoboWorks_SeriesB_2023a
RoboCapital,RoboWorks,Series B,2023,8000000,RoboWorks_SeriesB_2023b
Future Fund,GreenLogix,Series A,2022,3000000,GreenLogix_SeriesA_2022a
GreenFuture VC,GreenLogix,Series A,2022,2500000,GreenLogix_SeriesA_2022b
Sequoia Capital,DataGuard,Series A,2023,7000000,DataGuard_SeriesA_2023
